cpa,yr_id,name,population,,,
Bonsall,2020,45 to 49,585,,,
Bonsall,2020,50 to 54,686,,,
Bonsall,2020,55 to 59,853,,,
Bonsall,2020,60 and 61,375,,,
Bonsall,2020,62 to 64,534,,,
Bonsall,2020,65 to 69,821,,,
Bonsall,2020,70 to 74,675,,,
Bonsall,2020,75 to 79,517,,,
Bonsall,2020,80 to 84,334,,,
Bonsall,2020,85 and Older,386,,,
Carmel Mountain Ranch,2020,Under 5,727,,,
Carmel Mountain Ranch,2020,5 to 9,715,,,
Carmel Mountain Ranch,2020,10 to 14,749,,,
Carmel Mountain Ranch,2020,15 to 17,441,,,
Carmel Mountain Ranch,2020,18 and 19,294,,,
Carmel Mountain Ranch,2020,20 to 24,729,,,
Carmel Mountain Ranch,2020,25 to 29,892,,,
Carmel Mountain Ranch,2020,30 to 34,1007,,,
Carmel Mountain Ranch,2020,35 to 39,1042,,,
Carmel Mountain Ranch,2020,40 to 44,1009,,,
Carmel Mountain Ranch,2020,45 to 49,996,,,
Carmel Mountain Ranch,2020,50 to 54,893,,,
Carmel Mountain Ranch,2020,55 to 59,912,,,
Carmel Mountain Ranch,2020,60 and 61,337,,,
Carmel Mountain Ranch,2020,62 to 64,445,,,
Carmel Mountain Ranch,2020,65 to 69,568,,,
Carmel Mountain Ranch,2020,70 to 74,439,,,
Carmel Mountain Ranch,2020,75 to 79,248,,,
Carmel Mountain Ranch,2020,80 to 84,152,,,
Carmel Mountain Ranch,2020,85 and Older,157,,,
Carmel Valley,2020,Under 5,1639,,,
Carmel Valley,2020,5 to 9,2495,,,
Carmel Valley,2020,10 to 14,3161,,,
Carmel Valley,2020,15 to 17,1937,,,
Carmel Valley,2020,18 and 19,991,,,
Carmel Valley,2020,20 to 24,1751,,,
Carmel Valley,2020,25 to 29,1601,,,
Carmel Valley,2020,30 to 34,1793,,,
Carmel Valley,2020,35 to 39,2267,,,
Carmel Valley,2020,40 to 44,2876,,,
Carmel Valley,2020,45 to 49,3339,,,
Carmel Valley,2020,50 to 54,3220,,,
Carmel Valley,2020,55 to 59,2846,,,
Carmel Valley,2020,60 and 61,1065,,,
Carmel Valley,2020,62 to 64,1317,,,
Carmel Valley,2020,65 to 69,1790,,,
Carmel Valley,2020,70 to 74,1231,,,
Carmel Valley,2020,75 to 79,783,,,
Carmel Valley,2020,80 to 84,414,,,
Carmel Valley,2020,85 and Older,428,,,
Central Mountain,2020,Under 5,207,,,
Central Mountain,2020,5 to 9,264,,,
Central Mountain,2020,10 to 14,229,,,
Central Mountain,2020,15 to 17,157,,,
Central Mountain,2020,18 and 19,76,,,
Central Mountain,2020,20 to 24,203,,,
Central Mountain,2020,25 to 29,198,,,
Central Mountain,2020,30 to 34,256,,,
Central Mountain,2020,35 to 39,276,,,
Central Mountain,2020,40 to 44,231,,,
